address,type,label
0x577ef07758a145bcd51172f3437eda21084b3735,phishing,1
0xe4b7cee4af5016714dd6294e0ad6bbaf42e52787,phishing,1
0x9a72d79e48e9a03fa9f6f10a1b1997bf919a93b6,phishing,1
0x137fcc71e3be35b45e6246e5f3cdcff2c457af78,phishing,1
0xfd681f728f99250c522569fcf3b2e6e0e5a7fd19,phishing,1
0xc28d5d922eb85c51b114f35242216ae792f29f16,phishing,1
0xf2c26e2bb5cbdb6cd6e1573b986a55d9cc1f7e5d,phishing,1
0x8fbe8655315d6b9ee32fe507db41825ae5b1e770,phishing,1
0xfde52c481a11f06c1ed36c3e88e75de1176770b7,phishing,1
0xe5dde74ad977acdacbf7107540b071ded5886284,phishing,1
0x4258ebe8ca35de27d7f60a2512015190b8ad70e7,phishing,1
0xa5e1f7e79b3e854ac67a660288c7c97755867627,phishing,1
0xf02a6c184f6ca5f4f6d2d27206ecdef605d4fb80,phishing,1
0x3b37e90a131d8c531903bf16d005254345677d04,phishing,1
0x81cdfb123f25ab1bc00aacce106ac84e7fc84d5b,phishing,1
0xb3e5c6be2480850d92b9641fd327aa4a7423f95d,phishing,1
0x2408e38c358f1881ee18d6fe3583454ac991e70b,phishing,1
0xde878a5ae8a0f1c8f59fdef91d55f7a45bb16829,phishing,1
0x1d21f45ed6620a9e5323a083458691f86cecc94c,phishing,1
0x635241d839ecbdc5eb47874138053288e92f4dbc,phishing,1
0xde18e75d48bf142fc84ea2cdeae08fdae9102dea,phishing,1
0x6651c325047d482f9e16a4f986db33508d89dd41,phishing,1
0xfe635d7af0e778c5ab0219626a3729bdf623d173,phishing,1
0x63069319cbb5fb3173eeccc78cc26b2b2ce7816e,phishing,1
0x9e3a6c3c9337841a5201289e03c0ec0862dcec6b,phishing,1
0xc95d488dc46af6bb7aafb7a283c627667526a193,phishing,1
0xf358da5a928cd152226249fa06d580655c66af6f,phishing,1
0x79b2b2defce6e3b84bdbb36be4cda9a9ebbb490f,phishing,1
0x3659a7ad20e886ace6dc2b1cdee383c0e948595e,phishing,1
0x4c0ce7248e8a18d54009b8d2ba982d1b0ca4ea49,phishing,1
0x9dfc43b689d7a15b681d7fa33b4b19217d5fca22,phishing,1
0x8009194614a7b3bca888fc8f994d8545050b9d5e,phishing,1
0xc91a056426017e91bc7fd5c5ca62faa2c1a3191e,phishing,1
0x66366e33b26965700b006f536ee618a6cd1dd158,phishing,1
0x83cdb9f80ee46ac5abe2996e621d2709a8349d6b,phishing,1
0x40a973f96948c0d90184c7a9ccb36a703711342f,phishing,1
0x1de7def5f15df36731b96fff106375ff511b84b4,phishing,1
0x692727e99a7b44a6732afb4f9b1def6f25354842,phishing,1
0x309471aa5a39f311e78711de6f5806c2ca124d8a,phishing,1
0x9233bb72f1bfdff01df883c60fea4e5c0994ba0f,phishing,1
0x47ccbbe2c595091184adaa16a484cba747cc34f6,phishing,1
0x05a242216b23a44127c6643ab5a7b90f1193a2ed,phishing,1
0xa85c03116b1775bc13266d59968c863acf2b50c3,phishing,1
0x2f1b74a151405dc653d0ae5ca3a61c60e4cce220,phishing,1
0xd17552cb589f3fbc2ddf479170b36849d3c56fdc,phishing,1
0xbf29b773efee4706468b383b50247330ee78c242,phishing,1
0x386a4a362954a3962768ed9726a0ce3a403d1d32,phishing,1
0x4a404be0cc6982ed80138f4b8ddea4db64deaa4e,phishing,1
0x0000000dc3d9e17e3449e59bb75cb4005ee8aa7f,phishing,1
0x44e15afa9019267e8b3c09d9cbdcb552cf5cd7e9,phishing,1
0x0b96b72744ea17bc040fb1da7e81a99aa2b5f36a,phishing,1
0x11c424713e8f67c384fcd0260501c8a36e995c83,phishing,1
0x326ff33d25b50ec22a2e88da81ec9ab63f84e996,phishing,1
0x0aa7f992dfb485cf9c4fbe9688f1ecdf9e0a15f9,phishing,1
0x3adef38159b332c279bc8cf4957a93b64e369115,phishing,1
0x5514e91311428553d224fa743443b160a537ad73,phishing,1
0x8275aea6abe8a950aa5b0d3754db4ad4625e2e66,phishing,1
0xf56e45a09c9a988eed3dac03987ffa54ec3b11a6,phishing,1
0x39f954c8674009e4bd03c4afb36ccaf1732d3f7b,phishing,1
0xb481aab14df626a330677cc4c9e7c8e6a900bc24,phishing,1
0x69a68f913b8c835969bb6814d84908fd39858c05,phishing,1
0x6b5b8024161816cf44f3553d76f1e337b8cdb54f,phishing,1
0x74c74f8f16bd8b5ccf53b39d4a72f1acc3a051d1,phishing,1
0xd5ed34b52ac4ab84d8fa8a231a3218bbf01ed510,phishing,1
0x4f428c11dc82388fa5136d636e613ad923eb700b,sanctioned,1
0x3cffd56b47b7b41c56258d9c7731abadc360e073,sanctioned,1
0x08b2efdcdb8822efe5ad0eae55517cf5dc544251,sanctioned,1
0x961c5be54a2ffc17cf4cb021d863c42dacd47fc1,sanctioned,1
0x43fa21d92141ba9db43052492e0deee5aa5f0a93,sanctioned,1
0xed6e0a7e4ac94d976eebfb82ccf777a3c6bad921,sanctioned,1
0x3e37627deaa754090fbfbb8bd226c1ce66d255e9,sanctioned,1
0xf4377eda661e04b6dda78969796ed31658d602d4,sanctioned,1
0xd8500c631dc32fa18645b7436344a99e4825e10e,sanctioned,1
0x747afb5c7a7fc34b547cd0fdebf9b91759c5a52b,sanctioned,1
0x2f389ce8bd8ff92de3402ffce4691d17fc4f6535,sanctioned,1
0x7f367cc41522ce07553e823bf3be79a889debe1b,sanctioned,1
0x0330070fd38ec3bb94f58fa55d40368271e9e54a,sanctioned,1
0x08723392ed15743cc38513c4925f5e6be5c17243,sanctioned,1
0x4f47bc496083c727c5fbe3ce9cdf2b0f6496270c,sanctioned,1
0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,sanctioned,1
0x0ee5067b06776a89ccc7dc8ee369984ad7db5e06,sanctioned,1
0x983a81ca6fb1e441266d2fbcb7d8e530ac2e05a2,sanctioned,1
0xfda1ec4a6178d4916b001a065422d31ebe5f62ff,sanctioned,1
0x12de548f79a50d2bd05481c8515c1ef5183666a9,sanctioned,1
0x5a7a51bfb49f190e5a6060a5bc6052ac14a3b59f,sanctioned,1
0x502371699497d08d5339c870851898d6d72521dd,sanctioned,1
0xdcbeffbecce100cce9e4b153c4e15cb885643193,sanctioned,1
0xd0975b32cea532eadddfc9c60481976e39db3472,sanctioned,1
0x9f4cda013e354b8fc285bf4b9a60460cee7f7ea9,sanctioned,1
0x32da24ca413f3e7b53145d4737e172c3bdf81e3e,sanctioned,1
0x19aa5fe80d33a56d56c78e82ea5e50e5d80b4dff,sanctioned,1
0x797d7ae72ebddcdea2a346c1834e04d1f8df102b,sanctioned,1
0x7db418b5d567a4e0e8c59ad71be1fce48f3e6107,sanctioned,1
0x19f8f2b0915daa12a3f5c9cf01df9e24d53794f7,sanctioned,1
0xe1d865c3d669dcc8c57c8d023140cb204e672ee4,sanctioned,1
0x9be599d7867f5e1a2d7ec6db9710df2b98a15573,sanctioned,1
0x3ad9db589d201a710ed237c829c7860ba86510fc,sanctioned,1
0xf7b31119c2682c88d88d455dbb9d5932c65cf1be,sanctioned,1
0x6be0ae71e6c41f2f9d0d1a3b8d0f75e6f6a0b46e,sanctioned,1
0x931546d9e66836abf687d2bc64b30407bac8c568,sanctioned,1
0x48549a34ae37b12f6a30566245176994e17c6b4a,sanctioned,1
0xc2a3829f459b3edd87791c74cd45402ba0a20be3,sanctioned,1
0x308ed4b7b49797e1a98d3818bff6fe5385410370,sanctioned,1
0x1967d8af5bd86a497fb3dd7899a020e47560daaf,sanctioned,1
0x7f19720a857f834887fc9a7bc0a0fbe7fc7f8102,sanctioned,1
0x04dba1194ee10112fe6c3207c0687def0e78bacf,sanctioned,1
0xdb2720ebad55399117ddb4c4a4afd9a4ccada8fe,sanctioned,1
0xd04e33461fea8302c5e1e13895b60cee8aefda7f,sanctioned,1
